id,lon,lat,zona
838,-73.910379,40.848147,Bronx
839,-73.907863,40.845928,Bronx
840,-73.902976,40.846014,Bronx
841,-73.905076,40.848246,Bronx
842,-73.90323,40.85898,Bronx
843,-73.900812,40.858603,Bronx
844,-73.896622,40.857432,Bronx
845,-73.895656,40.86052,Bronx
846,-73.891307,40.841463,Bronx
847,-73.883767,40.840132,Bronx
848,-73.890228,40.843256,Bronx
849,-73.87565,40.838747,Bronx
850,-73.878564,40.842917,Bronx
851,-73.883253,40.844434,Bronx
852,-73.887263,40.846519,Bronx
853,-73.890469,40.848774,Bronx
854,-73.897717,40.845208,Bronx
855,-73.89653,40.850373,Bronx
856,-73.893079,40.850221,Bronx
857,-73.89259,40.856452,Bronx
858,-73.883382,40.852386,Bronx
859,-73.887249,40.853143,Bronx
860,-73.885116,40.856456,Bronx
861,-73.889296,40.858001,Bronx
862,-73.88561,40.861845,Bronx
863,-73.913143,40.860403,Bronx
864,-73.909272,40.860605,Bronx
865,-73.904956,40.86105,Bronx
866,-73.908907,40.867667,Bronx
867,-73.906243,40.866596,Bronx
868,-73.904689,40.864872,Bronx
869,-73.90099,40.865664,Bronx
870,-73.897896,40.864654,Bronx
871,-73.893807,40.863548,Bronx
872,-73.890437,40.86658,Bronx
873,-73.894496,40.868681,Bronx
874,-73.890641,40.87134,Bronx
875,-73.887346,40.868964,Bronx
876,-73.88749,40.875376,Bronx
877,-73.885564,40.873866,Bronx
878,-73.883908,40.869955,Bronx
879,-73.879414,40.870771,Bronx
880,-73.883086,40.881247,Bronx
881,-73.882022,40.876625,Bronx
882,-73.877645,40.876832,Bronx
883,-73.874407,40.875747,Bronx
884,-73.876698,40.881738,Bronx
885,-73.892973,40.875664,Bronx
886,-73.900817,40.871329,Bronx
887,-73.901889,40.878033,Bronx
888,-73.903585,40.8737,Bronx
889,-73.897713,40.882241,Bronx
890,-73.891011,40.883599,Bronx
891,-73.902884,40.880619,Bronx
892,-73.907777,40.879021,Bronx
893,-73.903924,40.884748,Bronx
894,-73.91839,40.880265,Bronx
895,-73.918464,40.883067,Bronx
896,-73.909143,40.88464,Bronx
897,-73.912498,40.884655,Bronx
898,-73.905864,40.890517,Bronx
899,-73.900501,40.895036,Bronx
900,-73.905815,40.897263,Bronx
901,-73.900347,40.909692,Bronx
902,-73.901137,40.904356,Bronx
903,-73.910972,40.904567,Bronx
904,-73.913548,40.893112,Bronx
905,-73.882395,40.832742,Bronx
906,-73.876189,40.83307,Bronx
907,-73.879979,40.830899,Bronx
908,-73.865605,40.833103,Bronx
909,-73.871049,40.832986,Bronx
910,-73.865435,40.837291,Bronx
911,-73.870384,40.837263,Bronx
912,-73.862745,40.836903,Bronx
913,-73.859592,40.835948,Bronx
914,-73.856385,40.834534,Bronx
915,-73.857371,40.839209,Bronx
916,-73.851091,40.836331,Bronx
917,-73.849808,40.839328,Bronx
918,-73.846526,40.841118,Bronx
919,-73.853095,40.832009,Bronx
920,-73.846989,40.830898,Bronx
921,-73.843467,40.834936,Bronx
922,-73.882926,40.825593,Bronx
923,-73.878666,40.82616,Bronx
924,-73.874851,40.826837,Bronx
925,-73.867003,40.826339,Bronx
926,-73.868342,40.829234,Bronx
927,-73.853618,40.828761,Bronx
928,-73.861395,40.830605,Bronx
929,-73.858961,40.828056,Bronx
930,-73.878539,40.821654,Bronx
931,-73.871839,40.816473,Bronx
932,-73.869539,40.822524,Bronx
933,-73.862929,40.813797,Bronx
934,-73.86373,40.823482,Bronx
935,-73.859299,40.818838,Bronx
936,-73.852807,40.81253,Bronx
937,-73.858002,40.824694,Bronx
938,-73.849943,40.825074,Bronx
939,-73.843528,40.820921,Bronx
940,-73.848652,40.818272,Bronx
941,-73.828101,40.874116,Bronx
942,-73.823498,40.863215,Bronx
943,-73.834529,40.847247,Bronx
944,-73.831535,40.852085,Bronx
945,-73.823183,40.853831,Bronx
946,-73.832475,40.841405,Bronx
947,-73.831127,40.845679,Bronx
948,-73.836669,40.833041,Bronx
949,-73.82978,40.837052,Bronx
950,-73.820716,40.826497,Bronx
951,-73.825353,40.831772,Bronx
952,-73.830435,40.828457,Bronx
953,-73.825029,40.825749,Bronx
954,-73.833981,40.81714,Bronx
955,-73.821763,40.817039,Bronx
956,-73.806086,40.813232,Bronx
957,-73.810681,40.821216,Bronx
958,-73.818231,40.830844,Bronx
959,-73.820984,40.841081,Bronx
960,-73.784792,40.849141,Bronx
961,-73.869001,40.868308,Bronx
962,-73.866059,40.868275,Bronx
963,-73.8632,40.868291,Bronx
964,-73.863436,40.861625,Bronx
965,-73.860062,40.861248,Bronx
966,-73.860294,40.868291,Bronx
967,-73.869288,40.861349,Bronx
968,-73.866292,40.861572,Bronx
969,-73.857429,40.868291,Bronx
970,-73.851403,40.868173,Bronx
971,-73.853103,40.861938,Bronx
972,-73.845314,40.867087,Bronx
973,-73.841126,40.866102,Bronx
974,-73.845926,40.861493,Bronx
975,-73.838034,40.861316,Bronx
